w1,w2,w3,s1,s2,eq_check
5,4,1,signed,signed,True
5,4,1,unsigned,signed,True
5,4,1,signed,unsigned,True
5,4,1,unsigned,unsigned,True
6,4,1,signed,signed,True
6,4,1,unsigned,signed,True
6,4,1,signed,unsigned,True
6,4,1,unsigned,unsigned,True
7,4,1,signed,signed,True
7,4,1,unsigned,signed,True
7,4,1,signed,unsigned,True
7,4,1,unsigned,unsigned,True
8,4,1,signed,signed,True
8,4,1,unsigned,signed,True
8,4,1,signed,unsigned,True
8,4,1,unsigned,unsigned,True
1,4,2,signed,signed,True
1,4,2,unsigned,signed,True
1,4,2,signed,unsigned,True
1,4,2,unsigned,unsigned,True
2,4,2,signed,signed,True
2,4,2,unsigned,signed,True
2,4,2,signed,unsigned,True
2,4,2,unsigned,unsigned,True
3,4,2,signed,signed,True
3,4,2,unsigned,signed,True
3,4,2,signed,unsigned,True
3,4,2,unsigned,unsigned,True
4,4,2,signed,signed,True
4,4,2,unsigned,signed,True
4,4,2,signed,unsigned,True
4,4,2,unsigned,unsigned,True
5,4,2,signed,signed,True
5,4,2,unsigned,signed,True
5,4,2,signed,unsigned,True
5,4,2,unsigned,unsigned,True
6,4,2,signed,signed,True
6,4,2,unsigned,signed,True
6,4,2,signed,unsigned,True
6,4,2,unsigned,unsigned,True
7,4,2,signed,signed,True
7,4,2,unsigned,signed,True
7,4,2,signed,unsigned,True
7,4,2,unsigned,unsigned,True
8,4,2,signed,signed,True
8,4,2,unsigned,signed,True
8,4,2,signed,unsigned,True
8,4,2,unsigned,unsigned,True
1,4,3,signed,signed,False
1,4,3,unsigned,signed,False
1,4,3,signed,unsigned,False
1,4,3,unsigned,unsigned,True
2,4,3,signed,signed,False
2,4,3,unsigned,signed,False
2,4,3,signed,unsigned,True
2,4,3,unsigned,unsigned,True
3,4,3,signed,signed,False
3,4,3,unsigned,signed,False
3,4,3,signed,unsigned,True
3,4,3,unsigned,unsigned,True
4,4,3,signed,signed,False
4,4,3,unsigned,signed,False
4,4,3,signed,unsigned,True
4,4,3,unsigned,unsigned,True
5,4,3,signed,signed,False
5,4,3,unsigned,signed,False
5,4,3,signed,unsigned,True
5,4,3,unsigned,unsigned,True
6,4,3,signed,signed,False
6,4,3,unsigned,signed,False
6,4,3,signed,unsigned,True
6,4,3,unsigned,unsigned,True
7,4,3,signed,signed,False
7,4,3,unsigned,signed,False
7,4,3,signed,unsigned,True
7,4,3,unsigned,unsigned,True
8,4,3,signed,signed,False
8,4,3,unsigned,signed,False
8,4,3,signed,unsigned,True
8,4,3,unsigned,unsigned,True
1,4,4,signed,signed,False
1,4,4,unsigned,signed,False
1,4,4,signed,unsigned,False
1,4,4,unsigned,unsigned,True
2,4,4,signed,signed,False
2,4,4,unsigned,signed,False
2,4,4,signed,unsigned,False
2,4,4,unsigned,unsigned,True
3,4,4,signed,signed,False
3,4,4,unsigned,signed,False
3,4,4,signed,unsigned,True
3,4,4,unsigned,unsigned,True
4,4,4,signed,signed,False
4,4,4,unsigned,signed,False
4,4,4,signed,unsigned,True
4,4,4,unsigned,unsigned,True
5,4,4,signed,signed,False
5,4,4,unsigned,signed,False
5,4,4,signed,unsigned,True
5,4,4,unsigned,unsigned,True
6,4,4,signed,signed,False
6,4,4,unsigned,signed,False
